Department,Number,Size,Grade
COMM,2760,157,A-
COMM,2820,104,B+
COMM,3100,32,A
COMM,3300,24,A
COMM,3600,43,A
COMM,4100,28,A-
COMM,4280,44,A-
COMM,4980,26,A
COMM,4990,50,A
CRP,1101,70,B+
CRP,1109,14,A
CRP,2010,37,B
CRP,3011,18,B+
CRP,3071,10,A
CRP,3072,11,A
CRP,3301,28,A
CRP,3502,26,B+
CRP,3720,16,A-
CRP,3850,17,A-
CRP,4080,33,B+
CRP,4160,24,A
CRP,4970,19,A
CS,1110,118,B
CS,1112,265,B
CS,1114,32,B+
CS,2800,119,B+
CS,3110,56,B+
CS,3410,92,B+
CS,4820,132,B
CS,4850,54,A
CS,4999,70,A
CSS,3210,22,B
CSS,3650,35,A-
CSS,4720,16,A-
DEA,1102,14,A-
DEA,1150,14,A-
DEA,1501,32,A
DEA,2040,48,A-
DEA,2202,10,B+
DEA,2410,31,A
DEA,2420,23,A
DEA,3040,16,A
DEA,3050,12,B+
DEA,3500,37,B
DEA,4010,12,A
DEA,4030,13,A
DEA,4402,15,A
DEA,4700,14,A-
DEA,4720,12,A
DSOC,1101,308,A
DSOC,1200,17,A
DSOC,1201,14,A-
DSOC,2750,36,A-
DSOC,3010,47,B+
DSOC,3050,18,B+
DSOC,3130,26,B
DSOC,4810,41,A-
EAS,1700,61,A-
EAS,2200,25,B
EAS,2680,87,B
EAS,2900,12,A
EAS,3040,18,B+
EAS,3420,15,B+
EAS,3520,10,B
EAS,4240,10,A-
EAS,4560,15,B+
EAS,4700,15,A
EAS,4760,16,B+
EAS,4920,14,A
ECE,2200,80,B
ECE,2960,19,A
ECE,3150,76,B+
ECE,3200,35,B+
ECE,4070,17,B
ECE,4370,29,A-
ECE,4570,30,B+
ECE,4740,44,B+
ECE,4760,79,A
ECE,4920,14,A
ECE,4960,13,A
ECE,4970,24,A-
ECON,1110,364,B+
ECON,1120,570,B+
ECON,3020,56,A-
ECON,3130,153,B+
ECON,3140,174,B+
ECON,3200,136,B+
ECON,3210,86,B
ECON,3360,42,B+
ECON,3530,18,A-
ECON,3580,127,B+
ECON,3590,36,B
ECON,3680,50,B
ECON,3710,111,B+
ECON,4040,56,B+
ECON,4170,23,A-
ECON,4450,50,A
ECON,4980,19,A
EDUC,2110,27,A
EDUC,2210,10,A+
EDUC,2400,102,A
EDUC,4050,21,A
EDUC,4410,55,A
EDUC,4940,17,A
EDUC,4970,19,A
EDUC,4980,11,A
ENGL,1105,16,B+
ENGL,1108,98,B+
ENGL,1111,61,B+
ENGL,1123,33,A-
ENGL,1127,28,B+
ENGL,1134,94,A-
ENGL,1147,64,A-
ENGL,1158,132,A-
ENGL,1168,67,A
ENGL,1170,67,A-
ENGL,1185,279,A-
ENGL,1190,61,A
ENGL,2020,36,A-
ENGL,2080,42,A-
ENGL,2700,37,A-
ENGL,2710,15,A-
ENGL,2720,12,A
ENGL,2810,187,A
ENGL,2890,95,A-
ENGL,3080,29,A-
ENGL,3190,24,A-
ENGL,3330,18,A-
ENGL,3500,31,A-
ENGL,3570,23,B+
ENGL,3732,12,A
ENGL,3830,43,A
ENGL,3840,12,A
ENGL,3850,20,A
ENGL,3860,12,A
ENGL,4810,19,A
ENGL,4920,14,A-
ENGL,4940,20,A
ENGL,4950,11,A
ENGLF,1003,12,A-
ENGRC,3020,16,A
ENGRC,3350,36,A-
ENGRC,3500,66,A-
ENGRD,2020,109,B
ENGRD,2030,115,B
ENGRD,2700,137,B
ENGRD,3200,73,B+
ENGRI,1101,24,B+
ENGRI,1270,62,A
ENGRI,1310,36,B
ENTOM,2011,73,B
ENTOM,2020,33,A-
ENTOM,2410,15,A-
ENTOM,3330,17,B+
ENTOM,4990,15,A
FDSC,1102,17,A
FDSC,1500,146,B+
FDSC,2100,29,A-
FDSC,2300,28,A
FDSC,2500,27,A
FDSC,4170,29,A-
FDSC,4250,16,A-
FDSC,4940,11,B+
FDSC,4990,12,A
FGSS,2010,35,B+
FILM,3520,45,A-
FILM,3770,12,A-
FILM,3830,11,A
FREN,1103,13,A-
FREN,1108,17,A
FREN,1220,71,B+
FREN,1230,27,B+
FREN,2090,73,B+
FREN,2100,12,A
FREN,2190,51,A-
FREN,2210,13,A
FREN,3010,17,A-
FREN,3050,23,A-
FREN,3130,14,A-
FREN,3220,17,A
FSAD,1170,22,A-
FSAD,1350,32,B-
FSAD,1360,29,A
FSAD,1450,20,B+
FSAD,2650,12,B
FSAD,2660,20,A-
FSAD,3980,18,A-
FSAD,3990,16,A
FSAD,4010,20,A
FSAD,4310,40,A+
FSAD,4360,21,A-
FSAD,4390,24,B+
GERST,1106,16,A-
GERST,1109,50,A-
GERST,1140,17,A
GERST,1170,17,A
GERST,1210,30,A-
GERST,1220,28,B+
GERST,2000,17,A
GERST,2040,11,A
GERST,3080,13,A
GOVT,1101,48,B+
GOVT,1313,94,B
GOVT,1615,157,B
GOVT,2055,16,A-
GOVT,3102,14,B+
GOVT,3437,42,A-
GOVT,3847,82,B+
GOVT,3944,46,B+
GOVT,4000,35,B+
GOVT,4817,14,B+
GOVT,4959,23,A
HADM,1105,120,B
HADM,1106,127,B
HADM,1115,116,B+
HADM,1121,116,B+
HADM,1141,81,B
HADM,1165,121,B
HADM,1174,32,B-
HADM,2201,110,B+
HADM,2211,120,B+
HADM,2222,116,B+
HADM,2223,57,A-
HADM,2225,143,B+
HADM,2236,114,B
HADM,2241,107,B
HADM,2243,116,B
HADM,2255,136,B
HADM,2274,16,B+
HADM,2275,99,B+
HADM,3301,49,A-
HADM,3304,120,A-
HADM,3305,125,B+
HADM,3320,98,A-
HADM,3321,104,B
HADM,3325,71,A-
HADM,3340,48,B
HADM,3347,93,A-
HADM,3355,146,B+
HADM,3364,22,B+
HADM,3365,118,B+
HADM,3374,22,A-
HADM,3385,72,B+
HADM,3386,45,B+
HADM,4401,22,B+
HADM,4411,19,B+
HADM,4416,16,A-
HADM,4417,31,A-
HADM,4420,42,B+
HADM,4425,20,A-
HADM,4426,41,A-
HADM,4428,24,A-
HADM,4435,25,B+
HADM,4438,16,B+
HADM,4441,99,B
HADM,4444,16,A-
HADM,4445,17,A-
HADM,4446,40,A-
HADM,4449,61,B+
HADM,4462,18,A-
HADM,4476,34,A-
HADM,4477,72,A-
HADM,4487,78,B+
HADM,4491,17,A
HADM,4495,29,A-
HADM,4496,10,A+
HADM,4499,53,A
HD,1170,227,B+
HD,2180,74,A-
HD,3460,31,A
HD,3620,466,B
HD,3660,31,A
HD,3820,30,A-
HD,4010,157,A
HD,4180,17,A
HD,4200,15,A
HD,4330,18,A
HD,4490,17,A-
HD,4780,14,A-
HD,4990,15,A
HE,1100,71,A
HINDI,1102,17,A
HIST,1117,17,B+
HIST,1119,16,A-
HIST,1121,16,A-
HIST,1122,17,A-
HIST,1141,16,A
HIST,1511,37,A-
HIST,2001,12,A
HIST,2180,12,A-
HIST,2273,16,A-
HIST,2430,15,A-
HIST,2791,65,A
HIST,3621,20,A-
HIST,3632,47,B
HIST,3790,22,A-
HIST,4002,10,A
HORT,1102,30,A
HORT,1150,16,A
HORT,1160,17,A-
HORT,4000,19,A-
HORT,4450,28,A-
HORT,4970,13,A
ILRCB,1100,99,A-
ILRCB,1200,41,A-
ILRCB,2010,108,B+
ILRCB,2050,170,B+
ILRCB,2060,18,A
ILRCB,2090,14,A
ILRCB,2300,49,A-
ILRCB,3040,80,A-
ILRCB,3070,47,A-
ILRCB,3830,29,A-
ILRCB,4022,43,A
ILRCB,4030,20,B
ILRCB,4040,16,B
ILRCB,4860,20,A-
ILRCB,4970,20,A
ILRHR,2600,47,A
ILRHR,2660,123,A+
ILRHR,2690,17,B+
